age,gender,life,marital,model,kapoor family,comedy,dancing,action,romantic,reality show,height,main character,supporting role,villian,doctrate,director,producer,name
53,M,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,Aamir Khan
42,M,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Abhay Deol
42,M,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,Abhishek Bachchan
31,F,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Adah Sharma
32,F,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Aditi Rao Hydari
33,M,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,Aditya Roy Kapoor
40,M,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Aftab Shivdasani
45,F,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,Aishwarya Rai
49,M,1,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,Ajay Devgan
51,M,1,1,0,0,0,0,1,9,0,0,1,0,0,0,0,0,Akshay Kumar
43,M,1,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,Akshaye Khanna
32,M,1,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,Ali Fazal
25,F,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,Alia Bhatt
42,F,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Ameesha Patel
76,M,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,Amitabh Bachchan
78,M,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Amjad Khan
86,M,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Amrish Puri
37,F,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Amrita Arora
37,F,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Amrita rao
60,F,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Amrita Singh
26,F,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Amy Jackson
62,M,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Anil Kapoor
62,M,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,Annu Kapoor
63,M,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Anupam Kher
30,F,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,Anushka Sharma
37,F,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Anushka Shetty
51,M,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,Arbaaz Khan
