Date,Close,Open,High,Low,Vol-Million,Change %
"Jun 18, 2018",1269.2,1281.8,1291,1264.05,2.86,-0.01
"Jun 15, 2018",1281.25,1237,1291.5,1235,9.98,0.03
"Jun 14, 2018",1239.7,1253,1253,1234.1,3.8,-0.02
"Jun 13, 2018",1264.8,1256.86,1273.93,1256.86,2.88,0.01
"Jun 12, 2018",1248.63,1255.82,1261.28,1240.64,3.92,0.00
"Jun 11, 2018",1252.5,1255.62,1260.04,1245.2,2.59,0.00
"Jun 08, 2018",1250.17,1238.21,1252.1,1236.28,3.23,0.01
"Jun 07, 2018",1242.63,1228.29,1248.13,1228.29,3.34,0.01
"Jun 06, 2018",1227.74,1215.59,1231.81,1210.48,2.02,0.01
"Jun 05, 2018",1211.27,1232.26,1232.26,1207.45,2.36,-0.02
"Jun 04, 2018",1229.68,1211.52,1233.25,1202.49,2.14,0.01
"Jun 01, 2018",1220.8,1230.4,1246.25,1217.2,2.5,-0.01
"May 31, 2018",1231.8,1211.7,1242,1210.25,9.86,0.02
"May 30, 2018",1211.7,1217,1228.75,1205.6,3.16,0.00
"May 29, 2018",1216.7,1214.05,1226.55,1206.2,1.69,0.00
"May 28, 2018",1214.4,1231,1232.6,1206,2.87,-0.01
"May 25, 2018",1228.3,1230.1,1248.65,1220.8,4.45,0.01
"May 24, 2018",1221,1198,1227.55,1198,4.87,0.03
"May 23, 2018",1184.9,1195,1207.65,1181.5,4.77,-0.01
"May 22, 2018",1193.85,1175,1198,1173.9,2.82,0.01
"May 21, 2018",1179.5,1179.55,1188.4,1170,4.24,0.00
"May 18, 2018",1183.2,1183,1186.55,1173,3.57,0.00
"May 17, 2018",1182.9,1196,1197.45,1173.55,4.76,-0.01
"May 16, 2018",1189.95,1187.25,1198,1184.5,3.1,0.00
"May 15, 2018",1194.55,1188.1,1208,1188.1,2.81,0.00
"May 14, 2018",1189.3,1184.35,1191.5,1170,2.22,0.01
"May 11, 2018",1180.75,1172.3,1183.2,1166.05,1.66,0.01
"May 10, 2018",1168,1176,1183,1162.85,1.59,0.00
"May 09, 2018",1170.7,1167.5,1176.9,1163,1.89,0.00
"May 08, 2018",1165.55,1177.9,1177.9,1161.05,2.86,-0.01
"May 07, 2018",1183,1181.25,1190,1175.5,2.32,0.01
"May 04, 2018",1173.1,1185,1186,1155,3.01,-0.01
"May 03, 2018",1182.55,1197.25,1204.7,1176.1,2.67,-0.01
"May 02, 2018",1197.05,1198.9,1201.6,1181,5.15,0.00
"Apr 30, 2018",1199.5,1181.7,1207.95,1180.65,2.76,0.01
"Apr 27, 2018",1185.2,1180,1191.6,1174.2,3.83,0.01
"Apr 26, 2018",1176.45,1174,1181.65,1160,5.65,0.01
"Apr 25, 2018",1160.35,1152,1171,1145.2,5.8,0.01
"Apr 24, 2018",1154.5,1185,1196.4,1150.1,4.26,-0.03
"Apr 23, 2018",1187.7,1168,1214.4,1155.25,10.92,0.01
"Apr 20, 2018",1178.45,1139,1193.7,1136.95,12.14,0.04
"Apr 19, 2018",1132.85,1124,1139.8,1123.1,4.26,0.01
"Apr 18, 2018",1125.95,1122.85,1134.75,1113.85,5.22,0.00
"Apr 17, 2018",1125.2,1127,1127.4,1115,5.2,-0.01
"Apr 16, 2018",1133.2,1102,1140,1102,12.37,-0.03
"Apr 13, 2018",1171.45,1174,1185.9,1150.25,10.61,0.01
"Apr 12, 2018",1162.6,1129.45,1172.75,1125,8.52,0.03
"Apr 11, 2018",1124.25,1118,1131.5,1116.5,4.51,0.01
"Apr 10, 2018",1113.4,1112,1124.5,1105.4,4.46,0.00
"Apr 09, 2018",1111.25,1125,1125.8,1106.55,3.6,-0.01
"Apr 06, 2018",1127,1143,1146,1122.1,2.97,-0.02
"Apr 05, 2018",1147.55,1139.55,1151.3,1129.1,3.88,0.02
"Apr 04, 2018",1124.2,1144,1144.55,1120,2.41,-0.01
"Apr 03, 2018",1140.45,1134.7,1143.55,1128.1,2.04,0.00
"Apr 02, 2018",1137.15,1141,1149.55,1121.3,4.04,0.00
"Mar 28, 2018",1131.8,1150.75,1150.75,1126.25,6.28,-0.02
"Mar 27, 2018",1154,1160,1161.3,1150.1,1.9,0.00
"Mar 26, 2018",1155.25,1166.9,1166.9,1144,4.47,-0.01
"Mar 23, 2018",1167.6,1147,1173.8,1142.35,6,0.01
"Mar 22, 2018",1161.3,1164.5,1177.45,1155.3,3.41,-0.01
"Mar 21, 2018",1167.5,1170,1175.5,1162.2,3.85,0.00
