top_left_square,top_middle_square,top_right_square,middle_left_square,middle_middle_square,middle_right_square,bottom_left_square,bottom_middle_square,bottom_right_square,class,Id
x,x,x,x,o,o,x,o,o,0,0
x,x,x,x,o,o,o,x,o,0,1
x,x,x,x,o,o,o,b,b,0,3
x,x,x,x,o,b,o,b,o,0,7
x,x,x,x,o,b,b,o,o,0,8
x,x,x,o,x,o,o,x,o,0,13
x,x,x,o,x,o,o,b,b,0,15
x,x,x,o,x,o,b,o,b,0,16
x,x,x,o,x,b,o,o,b,0,18
x,x,x,o,x,b,o,b,o,0,19
x,x,x,o,o,x,x,o,o,0,21
x,x,x,o,o,x,o,x,o,0,22
x,x,x,o,o,x,o,o,x,0,23
x,x,x,o,o,x,o,b,b,0,24
x,x,x,o,o,x,b,b,o,0,26
x,x,x,o,o,b,o,x,b,0,29
x,x,x,o,b,x,o,o,b,0,34
x,x,x,o,b,x,o,b,o,0,35
x,x,x,o,b,x,b,o,o,0,36
x,x,x,o,b,o,x,o,b,0,37
x,x,x,o,b,o,x,b,o,0,38
x,x,x,o,b,o,o,x,b,0,39
x,x,x,o,b,o,o,b,x,0,40
x,x,x,o,b,o,b,x,o,0,41
x,x,x,o,b,o,b,o,x,0,42
x,x,x,o,b,o,b,b,b,0,43
x,x,x,o,b,b,x,o,o,0,44
x,x,x,o,b,b,o,x,o,0,45
x,x,x,o,b,b,o,o,x,0,46
x,x,x,o,b,b,o,b,b,0,47
x,x,x,o,b,b,b,b,o,0,49
x,x,x,b,x,o,b,o,o,0,52
x,x,x,b,o,x,o,o,b,0,53
x,x,x,b,o,x,o,b,o,0,54
x,x,x,b,o,x,b,o,o,0,55
x,x,x,b,o,o,x,o,b,0,56
x,x,x,b,o,o,x,b,o,0,57
x,x,x,b,o,o,o,b,x,0,59
x,x,x,b,o,o,b,o,x,0,61
x,x,x,b,o,o,b,b,b,0,62
x,x,x,b,o,b,x,o,o,0,63
x,x,x,b,o,b,o,o,x,0,65
x,x,x,b,o,b,o,b,b,0,66
x,x,x,b,o,b,b,b,o,0,68
x,x,x,b,b,o,o,o,x,0,71
x,x,x,b,b,o,b,b,o,0,74
x,x,x,b,b,b,o,o,b,0,75
x,x,x,b,b,b,o,b,o,0,76
x,x,o,x,o,o,x,o,x,0,80
x,x,o,x,o,o,x,b,b,0,81
x,x,o,x,o,b,x,o,b,0,82
x,x,o,x,o,b,x,b,o,0,83
x,x,o,x,b,o,x,o,b,0,84
x,x,o,x,b,b,x,o,o,0,85
x,x,o,o,x,x,o,x,o,0,86
x,x,o,o,x,o,x,o,x,0,88
x,x,o,o,x,o,o,x,x,0,89
x,x,o,o,x,o,b,x,b,0,90
x,x,o,o,x,o,b,b,x,0,91
x,x,o,o,x,b,o,x,b,0,92
x,x,o,o,x,b,o,b,x,0,93
x,x,o,o,x,b,b,x,o,0,94
x,x,o,b,x,o,o,x,b,0,96
x,x,o,b,x,o,o,b,x,0,97
x,x,o,b,x,o,b,o,x,0,98
x,x,o,b,x,b,o,x,o,0,99
x,x,o,b,x,b,o,o,x,0,100
x,x,b,x,o,o,x,b,o,0,102
x,x,b,x,o,b,x,o,o,0,103
x,x,b,x,b,o,x,o,o,0,104
x,x,b,o,x,o,o,b,x,0,106
x,x,b,o,x,o,b,o,x,0,108
x,x,b,o,x,b,o,x,o,0,109
x,x,b,o,x,b,o,o,x,0,110
x,x,b,b,x,o,o,o,x,0,112
x,o,x,x,x,o,x,o,o,0,113
x,o,x,x,x,o,o,o,x,0,114
x,o,x,x,o,o,x,b,b,0,116
x,o,x,x,b,o,x,b,o,0,119
x,o,x,x,b,b,x,o,o,0,120
x,o,x,o,x,x,x,o,o,0,121
x,o,x,o,x,x,o,o,x,0,122
x,o,x,o,x,o,x,x,o,0,123
x,o,x,o,x,o,x,o,x,0,124
x,o,x,o,x,o,x,b,b,0,125
